id,Name,Type,Date (UTC),Description,Statement Descriptor,Unit Label,Url,Tax Code
prod_TzfOcA5WS8dfz2,Agent Observability + Runbooks,service,2026-02-17 04:38,"A continuously maintained reference for operating agents in production with measurable reliability. It defines a structured logging schema, a failure taxonomy for consistent classification and triage, and runbook authoring standards so incidents can be diagnosed quickly, resolved repeatably, and audited end-to-end.",,,,txcd_10000000
prod_TzfNkTfCrP6cOf,Data Extraction Agent,service,2026-02-17 04:37,"A continuously maintained reference for agents that convert messy inputs into reliable structured outputs. It defines extraction prompt discipline to reduce ambiguity, deterministic table normalization rules, and JSON Schema validation requirements so every extracted dataset is consistent, machine-usable, and auditable.",,,,txcd_10000000
prod_TzfMeCfeZBG344,X/Twitter Operator Agent,service,2026-02-17 04:36,"A continuously maintained reference for agents that monitor, summarize, and respond on X with strict brand and risk controls. It defines reply policy and tone constraints, controversy escalation rules with clear handoff triggers, and deterministic thread summarization formats so public communications stay consistent, safe, and on-message.",,,,txcd_10000000
prod_TzfLgRxdtiU11B,Content Ops Agent,service,2026-02-17 04:35,"A continuously maintained reference for agents that turn briefs into publish-ready content with verifiable accuracy. It defines brief extraction rules, an outline rubric that enforces structure and intent coverage, and a fact-check protocol with citation requirements so outputs are consistent, defensible, and ready for review or publication.",,,,txcd_10000000
prod_TzfJ8rfS5KgxuY,Sales SDR Agent Standard,service,2026-02-17 04:34,"A continuously maintained reference for sales development agents that qualify leads and log outcomes with strict compliance. It defines a qualification rubric, disallowed-claims hard-fail rules with escalation boundaries, and a structured CRM note format so every interaction produces consistent, reviewable, and pipeline-ready records.",,,,txcd_10000000
prod_TzfIALNalfycR0,Support Agent Standard,service,2026-02-17 04:32,"A continuously maintained reference for customer support agents that resolve requests safely and consistently. It defines intent classification rules, knowledge retrieval requirements with citations to approved sources, and strict refund/exception guardrails with escalation boundaries so responses remain accurate, compliant, and auditable.",,,,txcd_10000000
prod_TzfHQYbm9hjlCs,Inbox + Calendar Triage Agent,service,2026-02-17 04:31,"A continuously maintained reference for agents that triage communications and schedule reliably under clear rules. It defines a priority classification rubric, approved draft response templates with escalation boundaries, and deterministic calendar conflict resolution logic so scheduling decisions are consistent, auditable, and aligned with user preferences and policies.",,,,txcd_10000000
prod_TzfFTaAqOA2qvM,Local Coworker Ops,service,2026-02-17 04:30,"A continuously maintained reference for agents that work on local files safely and reversibly. It defines copy-first file handling rules, deterministic batch rename and organization workflows, and required audit log formats so every action is traceable, reviewable, and recoverable.",,,,txcd_10000000
prod_TzfET7DHS11lQg,Plugin Packaging + Team Distribution,service,2026-02-17 04:29,"A continuously maintained reference for shipping agent capabilities as installable, versioned plugins that work reliably across teams. It defines plugin manifests and packaging rules, versioning and compatibility requirements, distribution and installation workflows (local paths, repos, registries), and operational guardrails so organizations can deploy, update, and audit plugins with predictable behavior.",,,,txcd_10000000
prod_TzfCmqGYlQjVgL,Claude Skills Authoring Standard (SKILL.md),service,2026-02-17 04:26,"A continuously maintained reference for writing high-performing, deterministic skills that agents can invoke reliably. It defines the required frontmatter schema, how to design triggers so skills activate in the right contexts, and how to structure step-by-step workflows to reduce ambiguity, prevent drift, and produce consistent, gradeable outputs.",,,,txcd_10000000
prod_TzfBRQKNAMmtPH,Prompt Injection + Tool Safety Hardening,service,2026-02-17 04:25,"A continuously maintained reference for securing agents against real-world abuse and unsafe actions. It defines how to detect prompt-injection patterns, enforce safe browsing and retrieval rules (including source trust and citation requirements), and apply strict file-system action constraints so agents operate within approved boundaries with predictable, auditable behavior.",,,,txcd_10000000
prod_Tzf9qlgKNDU0eu,Agent Evaluation + Regression Harness,service,2026-02-17 04:23,"A continuously maintained reference for building, testing, and certifying agent performance with deterministic evaluation. It defines how to create eval case sets in NDJSON, how to design rubric.json and hard_fails.json for repeatable scoring, and how to run batch grading to measure pass/fail outcomes, catch regressions across versions, and produce auditable results.",,,,txcd_10000000
prod_Tzf8ZEMkwgOwoX,Design System Architecture Subscription,service,2026-02-17 04:22,"A continuously maintained reference that defines our full UI design system as an enforceable spec. It includes a complete token table (color, typography, spacing, radii, shadows, z-index, motion), component contracts (props, variants, states) for core UI elements like buttons, inputs, cards, modals, alerts, and tables, and strict accessibility rules covering focus behavior, labels, and keyboard interaction.",,,,txcd_10000000
